location_id,AddressNumber,StreetNamePreDirectional,StreetNamePreType,StreetName,StreetNamePostType,StreetNamePostDirectional,county,address_1,address_2,city,state,zip,state_abbr,location_source_value,latitude,longitude,geometry,Nominatim_address
7490,7651,South,,Gila,Avenue,,Pima County,7651 S Gila Ave,,Tucson,Arizona,85746,AZ,"7651 S GILA AVE, TUCSON, AZ 85746",32.112370999808654,-111.05024899958464,POINT (-111.0502489995846 32.11237099980865),"7651,South  Gila Avenue , Tucson, Pima County, Arizona, 85746, United States"
12813,331,South,,Cooper,Road,,Maricopa County,331 S Cooper Rd,,Gilbert,Arizona,85233,AZ,"331 S COOPER RD, GILBERT, AZ 85233",33.34314099974098,-111.80695899978068,POINT (-111.8069589997807 33.34314099974098),"331,South  Cooper Road , Gilbert, Maricopa County, Arizona, 85233, United States"
5446,7007,West,,Happy Valley,Road,,Maricopa County,7007 W Happy Valley Rd,,Peoria,Arizona,85383,AZ,"7007 W HAPPY VALLEY RD, PEORIA, AZ 85383",33.71087300030655,-112.2096850002369,POINT (-112.2096850002369 33.71087300030655),"7007,West  Happy Valley Road , Peoria, Maricopa County, Arizona, 85383, United States"
5970,1123,North,,24th,Place,,Maricopa County,1123 N 24Th Pl,,Phoenix,Arizona,85008,AZ,"1123 N 24TH PL, PHOENIX, AZ 85008",33.46068300017771,-112.02911099961264,POINT (-112.0291109996126 33.46068300017771),"1123,North  24th Place , Phoenix, Maricopa County, Arizona, 85008, United States"
12112,2725,West,,Nido,Avenue,,Maricopa County,2725 W Nido Ave,,Mesa,Arizona,85202,AZ,"2725 W NIDO AVE, MESA, AZ 85202",33.367103000242565,-111.89215399961778,POINT (-111.8921539996178 33.36710300024257),"2725,West  Nido Avenue , Mesa, Maricopa County, Arizona, 85202, United States"
26135,14200,West,,Celebrate Life,Way,,Maricopa County,14200 West Celebrate Life Way,,Goodyear,Arizona,85338,AZ,"14200 WEST CELEBRATE LIFE WAY, GOODYEAR, AZ 85338",33.4538635800001,-112.36440187,POINT (-112.36440187 33.4538635800001),"14200,West  Celebrate Life Way , Goodyear, Maricopa County, Arizona, 85338, United States"
12937,6331,West,,Lamar,Road,,Maricopa County,6331 W Lamar Rd,,Glendale,Arizona,85301,AZ,"6331 W LAMAR RD, GLENDALE, AZ 85301",33.53658299973841,-112.19648099984556,POINT (-112.1964809998456 33.53658299973841),"6331,West  Lamar Road , Glendale, Maricopa County, Arizona, 85301, United States"
13775,3112,East,,James,Street,,Pinal County,3112 E James St,,Casa Grande,Arizona,85194,AZ,"3112 E JAMES ST, CASA GRANDE, AZ 85194",32.948940000232604,-111.67719499981028,POINT (-111.6771949998103 32.9489400002326),"3112,East  James Street , Casa Grande, Pinal County, Arizona, 85194, United States"
15756,2115,East,,Cedar,Street,,Maricopa County,2115 E Cedar St,STE 1,Tempe,Arizona,85281,AZ,"2115 E CEDAR ST STE 1, TEMPE, AZ 85281",33.41199300005251,-111.89542099982955,POINT (-111.8954209998296 33.41199300005251),"2115,East  Cedar Street , Tempe, Maricopa County, Arizona, 85281, United States"
37667,101,,,Russell,Place,,Orange County,101 Russell Pl,,Irvine,California,92617,CA,"101 RUSSELL PL, IRVINE, CA 92617",33.64066609915481,-117.83694809258525,POINT (-117.8369480925852 33.64066609915481),"101,  Russell Place , Irvine, Orange County, California, 92617, United States"
26361,555,,,Washington,Street,,San Diego County,555 Washington St,,San Diego,California,92103,CA,"555 WASHINGTON ST, SAN DIEGO, CA 92103",32.74962807,-117.15976944,POINT (-117.15976944 32.74962807),"555,  Washington Street , San Diego, San Diego County, California, 92103, United States"
18887,500,East,,9th,Street,,Los Angeles County,500 E 9Th St,,Claremont,California,91711,CA,"500 E 9TH ST, CLAREMONT, CA 91711",34.10199541100007,-117.70641428199995,POINT (-117.706414282 34.10199541100007),"500,East  9th Street , Claremont, Los Angeles County, California, 91711, United States"
37923,7380,,,Girard,Avenue,,San Diego County,7380 Girard Ave,,La Jolla,California,92037,CA,"7380 GIRARD AVE, LA JOLLA, CA 92037",32.83886428368146,-117.27228020781446,POINT (-117.2722802078145 32.83886428368146),"7380,  Girard Avenue , La Jolla, San Diego County, California, 92037, United States"
38148,1950,South,,Prospect,Avenue,,Los Angeles County,1950 S Prospect Ave,,Redondo Beach,California,90277,CA,"1950 S PROSPECT AVE, REDONDO BEACH, CA 90277",33.817302156630966,-118.37678919922128,POINT (-118.3767891992213 33.81730215663097),"1950,South  Prospect Avenue , Redondo Beach, Los Angeles County, California, 90277, United States"
36773,1023,,,14th,Street,,Yuba County,1023 14Th Street,,Marysville,California,95901,CA,"1023 14TH STREET, MARYSVILLE, CA 95901",39.14996004922547,-121.60011301249853,POINT (-121.6001130124985 39.14996004922547),"1023,  14th Street , Marysville, Yuba County, California, 95901, United States"
17423,8401,,,Center,Parkway,,Sacramento County,8401 Center Parkway,,Sacramento,California,95823,CA,"8401 CENTER PARKWAY, SACRAMENTO, CA 95823",38.45357960400002,-121.42258618699998,POINT (-121.422586187 38.45357960400002),"8401,  Center Parkway , Sacramento, Sacramento County, California, 95823, United States"
38470,2555,West,Highway,154,,,Santa Barbara County,2555 W Hwy 154,,Los Olivos,California,93441,CA,"2555 W HWY 154, LOS OLIVOS, CA 93441",34.65474273001986,-120.10180342657348,POINT (-120.1018034265735 34.65474273001986),"2555,West Highway 154  , Los Olivos, Santa Barbara County, California, 93441, United States"
