location_id,AddressNumber,StreetNamePreDirectional,StreetNamePreType,StreetName,StreetNamePostType,StreetNamePostDirectional,county,address_1,address_2,city,state,zip,state_abbr,location_source_value,latitude,longitude,geometry,Nominatim_address,Primary RUCA Code 2010,rural,tribal,rural_tribal
12608,935,West,,Mescalero,Road,,Chaves County,935 W Mescalero Rd,,Roswell,New Mexico,88201,NM,"935 W MESCALERO RD, ROSWELL, NM 88201",33.43069800023054,-104.53508100041674,POINT (-104.5350810004167 33.43069800023054),"935,West  Mescalero Road , Roswell, Chaves County, New Mexico, 88201, United States",4.0,1,0,0
12431,2,,,Poplar,Drive,,Otero County,2 Poplar Dr,,La Luz,New Mexico,88337,NM,"2 POPLAR DR, LA LUZ, NM 88337",32.97575000030298,-105.94900500041324,POINT (-105.9490050004132 32.97575000030298),"2,  Poplar Drive , La Luz, Otero County, New Mexico, 88337, United States",4.0,1,0,0
14438,61A,,,Feather,Road,,Santa Fe County,61A Feather Rd,,Santa Fe,New Mexico,87506,NM,"61A FEATHER RD, SANTA FE, NM 87506",35.86957600017051,-106.00972399986102,POINT (-106.009723999861 35.86957600017051),"61A,  Feather Road , Santa Fe, Santa Fe County, New Mexico, 87506, United States",2.0,0,1,0
28927,700,,,High,Street,Northeast,Bernalillo County,700 High Street Ne,,Albuquerque,New Mexico,87102,NM,"700 HIGH STREET NE, ALBUQUERQUE, NM 87102",35.08887048,-106.63788334,POINT (-106.63788334 35.08887048),"700,  High Street Northeast, Albuquerque, Bernalillo County, New Mexico, 87102, United States",1.0,0,0,0
12423,10224,,,Cielito Lindo,,Northeast,Bernalillo County,10224 Cielito Lindo Ne,,Albuquerque,New Mexico,87111,NM,"10224 CIELITO LINDO NE, ALBUQUERQUE, NM 87111",35.12737300017281,-106.52661200024588,POINT (-106.5266120002459 35.12737300017281),"10224,  Cielito Lindo  Northeast, Albuquerque, Bernalillo County, New Mexico, 87111, United States",1.0,0,0,0
12451,4231,North,,Grandview,Road,,Grant County,4231 N Grandview Rd,,Silver City,New Mexico,88061,NM,"4231 N GRANDVIEW RD, SILVER CITY, NM 88061",32.810805000260736,-108.270046000141,POINT (-108.270046000141 32.81080500026074),"4231,North  Grandview Road , Silver City, Grant County, New Mexico, 88061, United States",4.0,1,0,0
40975,27,,,Mi W Of Cuba On Star Lake,Road,,McKinley County,27 Mi W Of Cuba On Star Lake Rd,,Cuba,New Mexico,87013,NM,"27 MI W OF CUBA ON STAR LAKE RD, CUBA, NM 87013",35.955049000343976,-107.34564900041792,POINT (-107.3456490004179 35.95504900034398),"27,  Mi W Of Cuba On Star Lake Road , Cuba, McKinley County, New Mexico, 87013, United States",3.0,0,0,0
15726,2015,South,,Hualapai,Way,,Clark County,2015 S Hualapai Way,,Las Vegas,Nevada,89117,NV,"2015 S HUALAPAI WAY, LAS VEGAS, NV 89117",36.1550410001675,-115.31577499971516,POINT (-115.3157749997152 36.1550410001675),"2015,South  Hualapai Way , Las Vegas, Clark County, Nevada, 89117, United States",1.0,0,0,0
14077,524,,,Bell,Street,,Washoe County,524 Bell St,,Reno,Nevada,89503,NV,"524 BELL ST, RENO, NV 89503",39.53043999972324,-119.82268699980416,POINT (-119.8226869998042 39.53043999972324),"524,  Bell Street , Reno, Washoe County, Nevada, 89503, United States",1.0,0,0,0
34286,4370,,,Smiley,Road,,Clark County,4370 Smiley Rd,,Las Vegas,Nevada,89115,NV,"4370 SMILEY RD, LAS VEGAS, NV 89115",36.25751807725975,-115.07696842322632,POINT (-115.0769684232263 36.25751807725975),"4370,  Smiley Road , Las Vegas, Clark County, Nevada, 89115, United States",1.0,0,0,0
